event_id,auction_house_id,auction_event,auction_date,auction_location,category,data_status
SIM-2020-SOT-JAD-1,SOT,春季 韞玉生輝－中國古代玉器（模擬場次）,2020-03-01,香港,玉器,模擬
SIM-2020-CGD-BRO-1,CGD,春季 吉金永寶－重要青銅器（模擬場次）,2020-03-07,北京,銅器,模擬
SIM-2020-CHR-CAL-1,CHR,春季 中國書畫珍藏（模擬場次）,2020-03-08,香港,法書,模擬
SIM-2020-PHK-BRO-1,PHK,春季 吉金永寶－重要青銅器（模擬場次）,2020-03-08,香港,銅器,模擬
SIM-2020-YZH-JAD-1,YZH,春季 瑰麗玉器與宮廷藝術（模擬場次）,2020-03-08,台北,玉器,模擬
SIM-2020-TCA-CER-1,TCA,春季 中國藝術珍品－瓷器專場（模擬場次）,2020-03-08,東京,陶瓷器,模擬
SIM-2020-TFA-BRO-1,TFA,春季 中國古代青銅器藝術（模擬場次）,2020-03-08,東京,銅器,模擬
SIM-2020-CHR-JAD-1,CHR,春季 中國藝術珍品－玉器專場（模擬場次）,2020-03-15,香港,玉器,模擬
SIM-2020-SOT-CER-1,SOT,春季 御窯菁華－中國古代陶瓷（模擬場次）,2020-03-15,香港,陶瓷器,模擬
SIM-2020-BON-JAD-1,BON,春季 瑰麗玉器與宮廷藝術（模擬場次）,2020-03-15,香港,玉器,模擬
SIM-2020-CHR-PAI-1,CHR,春季 翰墨丹青－中國繪畫專場（模擬場次）,2020-03-21,香港,繪畫,模擬
SIM-2020-HYG-JAD-1,HYG,春季 韞玉生輝－中國古代玉器（模擬場次）,2020-03-22,廣州,玉器,模擬
SIM-2020-CHR-BRO-1,CHR,春季 中國藝術珍品－青銅器專場（模擬場次）,2020-03-28,香港,銅器,模擬
SIM-2020-TFA-JAD-1,TFA,春季 瑰麗玉器與宮廷藝術（模擬場次）,2020-03-28,東京,玉器,模擬
SIM-2020-CGH-BRO-1,CGH,春季 中國藝術珍品－青銅器專場（模擬場次）,2020-04-04,香港,銅器,模擬
SIM-2020-CGH-CER-1,CGH,春季 中國藝術珍品－瓷器專場（模擬場次）,2020-04-04,香港,陶瓷器,模擬
SIM-2020-PHK-CAL-1,PHK,春季 翰墨流芳－歷代法書（模擬場次）,2020-04-04,香港,法書,模擬
SIM-2020-YIA-CER-1,YIA,春季 御窯菁華－中國古代陶瓷（模擬場次）,2020-04-04,橫濱,陶瓷器,模擬
SIM-2020-YON-JAD-1,YON,春季 中國藝術珍品－玉器專場（模擬場次）,2020-04-04,北京,玉器,模擬
SIM-2020-YZH-PAI-1,YZH,春季 中國古代書畫（模擬場次）,2020-04-05,台北,繪畫,模擬
SIM-2020-CGD-JAD-1,CGD,春季 韞玉生輝－中國古代玉器（模擬場次）,2020-04-11,北京,玉器,模擬
SIM-2020-TCA-PAI-1,TCA,春季 翰墨丹青－中國繪畫專場（模擬場次）,2020-04-11,東京,繪畫,模擬
SIM-2020-YON-PAI-1,YON,春季 翰墨丹青－中國繪畫專場（模擬場次）,2020-04-11,北京,繪畫,模擬
SIM-2020-XLY-BRO-1,XLY,春季 中國古代青銅器藝術（模擬場次）,2020-04-11,杭州,銅器,模擬
SIM-2020-BPL-BRO-1,BPL,春季 中國古代青銅器藝術（模擬場次）,2020-04-12,北京,銅器,模擬
SIM-2020-DIT-JAD-1,DIT,春季 中國藝術珍品－玉器專場（模擬場次）,2020-04-12,台北,玉器,模擬
SIM-2020-TCA-BRO-1,TCA,春季 中國藝術珍品－青銅器專場（模擬場次）,2020-04-12,東京,銅器,模擬
SIM-2020-YON-CER-1,YON,春季 中國藝術珍品－瓷器專場（模擬場次）,2020-04-12,北京,陶瓷器,模擬
SIM-2020-SOT-CAL-1,SOT,春季 翰墨流芳－歷代法書（模擬場次）,2020-04-12,香港,法書,模擬
SIM-2020-DIT-CAL-1,DIT,春季 中國書畫珍藏（模擬場次）,2020-04-19,台北,法書,模擬
SIM-2020-YIA-BRO-1,YIA,春季 吉金永寶－重要青銅器（模擬場次）,2020-04-19,橫濱,銅器,模擬
SIM-2020-YZH-CAL-1,YZH,春季 中國古代書法（模擬場次）,2020-04-25,台北,法書,模擬
SIM-2020-CGH-PAI-1,CGH,春季 翰墨丹青－中國繪畫專場（模擬場次）,2020-04-26,香港,繪畫,模擬
SIM-2020-PHK-CER-1,PHK,春季 御窯菁華－中國古代陶瓷（模擬場次）,2020-05-02,香港,陶瓷器,模擬
SIM-2020-TCA-CAL-1,TCA,春季 中國書畫珍藏（模擬場次）,2020-05-02,東京,法書,模擬
SIM-2020-XLY-JAD-1,XLY,春季 瑰麗玉器與宮廷藝術（模擬場次）,2020-05-03,杭州,玉器,模擬
SIM-2020-TFA-CAL-1,TFA,春季 中國古代書法（模擬場次）,2020-05-09,東京,法書,模擬
SIM-2020-YZH-CER-1,YZH,春季 重要中國瓷器及工藝精品（模擬場次）,2020-05-10,台北,陶瓷器,模擬
SIM-2020-TCA-JAD-1,TCA,春季 中國藝術珍品－玉器專場（模擬場次）,2020-05-10,東京,玉器,模擬
SIM-2020-SOT-BRO-1,SOT,春季 吉金永寶－重要青銅器（模擬場次）,2020-05-10,香港,銅器,模擬
SIM-2020-BON-CAL-1,BON,春季 中國古代書法（模擬場次）,2020-05-10,香港,法書,模擬
SIM-2020-BPL-CAL-1,BPL,春季 中國古代書法（模擬場次）,2020-05-16,北京,法書,模擬
SIM-2020-YON-CAL-1,YON,春季 中國書畫珍藏（模擬場次）,2020-05-16,北京,法書,模擬
SIM-2020-XLY-PAI-1,XLY,春季 中國古代書畫（模擬場次）,2020-05-16,杭州,繪畫,模擬
SIM-2020-XLY-CER-1,XLY,春季 重要中國瓷器及工藝精品（模擬場次）,2020-05-16,杭州,陶瓷器,模擬
SIM-2020-BON-PAI-1,BON,春季 中國古代書畫（模擬場次）,2020-05-16,香港,繪畫,模擬
SIM-2020-BPL-CER-1,BPL,春季 重要中國瓷器及工藝精品（模擬場次）,2020-05-17,北京,陶瓷器,模擬
SIM-2020-YON-BRO-1,YON,春季 中國藝術珍品－青銅器專場（模擬場次）,2020-05-17,北京,銅器,模擬
SIM-2020-HYG-PAI-1,HYG,春季 中國近現代書畫（模擬場次）,2020-05-17,廣州,繪畫,模擬
SIM-2020-CGH-JAD-1,CGH,春季 中國藝術珍品－玉器專場（模擬場次）,2020-05-23,香港,玉器,模擬
SIM-2020-BPL-JAD-1,BPL,春季 瑰麗玉器與宮廷藝術（模擬場次）,2020-05-23,北京,玉器,模擬
SIM-2020-BPL-PAI-1,BPL,春季 中國古代書畫（模擬場次）,2020-05-24,北京,繪畫,模擬
SIM-2020-HYG-CER-1,HYG,春季 御窯菁華－中國古代陶瓷（模擬場次）,2020-05-24,廣州,陶瓷器,模擬
SIM-2020-CHR-CER-1,CHR,春季 中國藝術珍品－瓷器專場（模擬場次）,2020-06-06,香港,陶瓷器,模擬
SIM-2020-PHK-PAI-1,PHK,春季 中國近現代書畫（模擬場次）,2020-06-06,香港,繪畫,模擬
SIM-2020-TFA-PAI-1,TFA,春季 中國古代書畫（模擬場次）,2020-06-07,東京,繪畫,模擬
SIM-2020-YIA-CAL-1,YIA,春季 翰墨流芳－歷代法書（模擬場次）,2020-06-07,橫濱,法書,模擬
SIM-2020-YIA-PAI-1,YIA,春季 中國近現代書畫（模擬場次）,2020-06-07,橫濱,繪畫,模擬
SIM-2020-CGH-CAL-1,CGH,春季 中國書畫珍藏（模擬場次）,2020-06-14,香港,法書,模擬
