category,subcategory,image_url,title_zh,era_or_artist,auction_house,auction_event,auction_date,auction_location,lot_number,size_text,estimate_low,estimate_high,sold_price,currency,sale_status,lot_id,event_id,auction_house_id,artist_name,era_name,attribution_status
玉器,玉佩／玉飾,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=110420&randomCode=64542096202,玉耳飾,戰國至西漢,佳士得,春季 中國藝術珍品－玉器專場（模擬場次）,2020-03-15,香港,0001,最小徑1.2公分 最大徑5.6公分,15600000,22300000,,RMB,撤拍,LOT-95EE59F7E5FC,SIM-2020-CHR-JAD-1,CHR,,戰國至西漢,僅有年代
繪畫,山水,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=627825&randomCode=1766577507,清惲壽平山水　冊　水村漁樂,惲壽平,西泠印社,秋季 中國近現代書畫（模擬場次）,2023-09-02,杭州,0001,28.7x45.4,63000,93000,59000,RMB,成交,LOT-DE59E4D5F4D9,SIM-2023-XLY-PAI-2,XLY,惲壽平,清聖祖康熙二十六年（1687）,已解析作者
陶瓷器,青瓷／青釉,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=2642280&randomCode=1850442337,冬青釉暗花碗,不詳,保利香港,春季 中國藝術珍品－瓷器專場（模擬場次）,2024-06-22,香港,0001,高6公分 口徑15.1公分 底徑5.1公分,100000,120000,140000,RMB,成交,LOT-CD05F813E22A,SIM-2024-PHK-CER-1,PHK,,,資料不詳
銅器,銅印,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=30528&randomCode=1987741334,「郭可印」銅印,待訂,永樂拍賣,秋季 吉金永寶－重要青銅器（模擬場次）,2021-10-02,北京,0001,印面長1.6公分 寬1.5公分,1500000,2250000,2200000,RMB,成交,LOT-25C0E1E88065,SIM-2021-YON-BRO-2,YON,,待訂,需要確認
法書,行書,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=432272&randomCode=83581892432,清錢灃行書詩　軸,錢灃,西泠印社,秋季 中國古代書法（模擬場次）,2022-10-23,杭州,0001,110.4x46.3,78000,96000,160000,RMB,成交,LOT-094CF3A9A6F7,SIM-2022-XLY-CAL-2,XLY,錢灃,,已解析作者
玉器,玉器皿,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=168519&randomCode=54536108182,玉「楓林停車」筆筒,清,宇珍,春季 中國藝術珍品－玉器專場（模擬場次）,2025-03-16,台北,0001,高14.0公分,500000,720000,,RMB,流拍,LOT-E589FAC87B0A,SIM-2025-YZH-JAD-1,YZH,,清,僅有年代
繪畫,人物,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=904404&randomCode=377170627,元趙孟頫畫藥師如來像　軸,趙孟頫,橫濱國拍,春季 中國近現代書畫（模擬場次）,2023-04-01,橫濱,0001,133x51,8800000,11900000,11500000,RMB,成交,LOT-1F7250A648AB,SIM-2023-YIA-PAI-1,YIA,趙孟頫,,已解析作者
銅器,銅鏡,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=896&randomCode=2123309626,長宜子孫鏡,宋,東京飛鳥,秋季 中國藝術珍品－青銅器專場（模擬場次）,2021-11-20,東京,0001,直徑17.6公分,430000,600000,,RMB,流拍,LOT-4AE99D637646,SIM-2021-TFA-BRO-2,TFA,,宋,僅有年代
玉器,其他玉器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=139954&randomCode=79743733905,玉籽料,清,宇珍,春季 瑰麗玉器與宮廷藝術（模擬場次）,2023-06-03,台北,0001,長5.0公分 寬6.0公分 高5.0公分,5850000,8750000,,RMB,流拍,LOT-DD11DA704397,SIM-2023-YZH-JAD-1,YZH,,清,僅有年代
法書,其他法書,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=532576&randomCode=66760331235,清曹文埴書妙法蓮華經（六）　冊,曹文埴,中國嘉德（香港）,秋季 中國書畫珍藏（模擬場次）,2022-09-03,香港,0001,31.7x25.3,150000,230000,180000,RMB,成交,LOT-0CADA2D98B1D,SIM-2022-CGH-CAL-2,CGH,曹文埴,,已解析作者
陶瓷器,鬥彩,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=315420&randomCode=94462202314,鬥彩團菊紋蓋罐,清 乾隆,佳士得,秋季 重要中國瓷器及工藝精品（模擬場次）,2023-09-03,香港,0001,高12.0公分 口徑5.3公分 底徑6.2公分,220000,320000,300000,RMB,成交,LOT-ADB5AA0E7C1C,SIM-2023-CHR-CER-2,CHR,,清 乾隆,僅有年代
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=494492&randomCode=32771804013,元人天中佳景　軸,不詳,蘇富比,春季 翰墨丹青－中國繪畫專場（模擬場次）,2021-03-13,香港,0001,108.2x63.5,250000,310000,290000,RMB,成交,LOT-54E6212BA2E1,SIM-2021-SOT-PAI-1,SOT,,,資料不詳
銅器,其他銅器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1156190&randomCode=666118600,銅鍍金嵌料石八吉祥-蓮花,清,中國嘉德（香港）,秋季 吉金永寶－重要青銅器（模擬場次）,2024-12-01,香港,0001,高20.1公分 底徑6.7公分,3350000,5400000,3400000,RMB,成交,LOT-B826F27EE99F,SIM-2024-CGH-BRO-2,CGH,,清,僅有年代
繪畫,山水,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0,民國江兆申山居小景　軸,不詳,中國嘉德（香港）,秋季 翰墨丹青－中國繪畫專場（模擬場次）,2022-10-29,香港,0001,49.2x61,500000,610000,520000,RMB,成交,LOT-F6DA9127D6B0,SIM-2022-CGH-PAI-2,CGH,,,資料不詳
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=586053&randomCode=50614015766,清董誥畫二十四番花信風圖　冊　立春一候迎春,董誥,北京保利,春季 中國古代書畫（模擬場次）,2020-05-24,北京,0001,20x14.2,180000,290000,600000,RMB,成交,LOT-FEFAA52AF29B,SIM-2020-BPL-PAI-1,BPL,董誥,,已解析作者
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=632371&randomCode=703472083,集古名繪　冊　宋李唐江干蕭寺,不詳,永樂拍賣,春季 中國古代書畫（模擬場次）,2021-04-24,北京,0001,27.4x22,160000,220000,200000,RMB,成交,LOT-F4D499DC7782,SIM-2021-YON-PAI-1,YON,,,資料不詳
法書,書札／信函,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1152662&randomCode=1907506027,清汪桂月致師母五月廿五日函,汪桂月,中國嘉德,春季 中國書畫珍藏（模擬場次）,2024-06-22,北京,0001,19.4x11.5,180000,230000,,RMB,流拍,LOT-CB4D1F0AB1BF,SIM-2024-CGD-CAL-1,CGD,汪桂月,,已解析作者
陶瓷器,青瓷／青釉,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=321717&randomCode=59958717373,青瓷貫耳瓶,明至清,北京保利,春季 御窯菁華－中國古代陶瓷（模擬場次）,2024-06-29,北京,0001,高21.5公分 口徑7.5公分 底徑7.3公分,1000000,1450000,1450000,RMB,成交,LOT-05E97BA9B506,SIM-2024-BPL-CER-1,BPL,,明至清,僅有年代
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0,民國當代名家書畫冊　冊　李靈伽荔枝,中華民國五十四年（1965）,西泠印社,春季 翰墨丹青－中國繪畫專場（模擬場次）,2022-04-02,杭州,0001,29.8x30,130000,160000,,RMB,流拍,LOT-1732E72FA3C5,SIM-2022-XLY-PAI-1,XLY,,中華民國五十四年（1965）,僅有年代
銅器,佛教造像,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1305994&randomCode=1029941652,青銅鎏金菩薩半跏倚坐像,明,永樂拍賣,秋季 中國藝術珍品－青銅器專場（模擬場次）,2022-10-02,北京,0001,高19.5公分,1400000,2400000,1250000,RMB,成交,LOT-62164D9AA68C,SIM-2022-YON-BRO-2,YON,,明,僅有年代
法書,行書,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=431644&randomCode=60968094973,民國溥儒行書銀河洞詩　軸,溥儒,東京中央,春季 翰墨流芳－歷代法書（模擬場次）,2025-04-12,東京,0001,132.3x32.3,3550000,4450000,3850000,RMB,成交,LOT-DC1CC57C3C36,SIM-2025-TCA-CAL-1,TCA,溥儒,,已解析作者
法書,書札／信函,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1188780&randomCode=1345690765,清馮煦致年伯九月十八日函,馮煦,邦瀚斯,秋季 中國書畫珍藏（模擬場次）,2021-12-19,香港,0001,22.2x12.5,23000,37000,23000,RMB,成交,LOT-BC9B818252DB,SIM-2021-BON-CAL-2,BON,馮煦,,已解析作者
玉器,玉佩／玉飾,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=423225&randomCode=61580723738,玉囍字腰結,不詳,華藝國際（廣州）,春季 韞玉生輝－中國古代玉器（模擬場次）,2023-05-06,廣州,0001,,1500000,1800000,1850000,RMB,成交,LOT-615A0B13BC47,SIM-2023-HYG-JAD-1,HYG,,,資料不詳
法書,其他法書,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=387942&randomCode=86194415884,清董誥書佛說妙法蓮華經（六）　冊,董誥,華藝國際（廣州）,秋季 翰墨流芳－歷代法書（模擬場次）,2025-11-09,廣州,0001,24.55x19.4,120000,160000,130000,RMB,成交,LOT-B40BB22E657E,SIM-2025-HYG-CAL-2,HYG,董誥,,已解析作者
銅器,鐘／樂器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=363077&randomCode=14947463386,子犯龢鐘,春秋中期,華藝國際（廣州）,秋季 中國古代青銅器藝術（模擬場次）,2024-10-13,廣州,0001,高61.5公分 長35.4公分 寬24.6公分,13700000,17700000,,RMB,流拍,LOT-F0F0A4ACAE85,SIM-2024-HYG-BRO-2,HYG,,春秋中期,僅有年代
陶瓷器,青花,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1074059&randomCode=1659541060,青花梵文盤,不詳,中國嘉德,春季 重要中國瓷器及工藝精品（模擬場次）,2022-03-19,北京,0001,高3.3公分 口徑15.5公分 底徑9.2公分,10100000,17600000,12400000,RMB,成交,LOT-72A81CB2AB74,SIM-2022-CGD-CER-1,CGD,,,資料不詳
玉器,其他玉器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=112143&randomCode=72292789135,白化玉戈,西周,蘇富比,春季 韞玉生輝－中國古代玉器（模擬場次）,2020-03-01,香港,0001,長7.6公分 寬0.9公分 厚0.2公分,100000,170000,140000,RMB,成交,LOT-A510F6A39FA7,SIM-2020-SOT-JAD-1,SOT,,西周,僅有年代
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=589362&randomCode=81641249528,名人書畫貳冊（上）　冊　南朝梁張僧繇畫謝靈運詩意（二）,張僧繇,中國嘉德,秋季 中國近現代書畫（模擬場次）,2025-10-25,北京,0001,25.2x30.8,8300000,11200000,9050000,RMB,成交,LOT-CEFA29B728B4,SIM-2025-CGD-PAI-2,CGD,張僧繇,,已解析作者
銅器,其他銅器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=335722&randomCode=1049483746,銅鈁,時代待訂,橫濱國拍,春季 中國藝術珍品－青銅器專場（模擬場次）,2021-03-21,橫濱,0001,高19.2公分,3300000,5250000,5150000,RMB,成交,LOT-686576157904,SIM-2021-YIA-BRO-1,YIA,,時代待訂,需要確認
玉器,其他玉器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=645242&randomCode=73872675,玉雙鵪鶉,明,北京保利,春季 瑰麗玉器與宮廷藝術（模擬場次）,2020-05-23,北京,0001,長7.1公分 寬3.2公分 高3.2公分,30000,36000,,RMB,流拍,LOT-80BD9928F0B8,SIM-2020-BPL-JAD-1,BPL,,明,僅有年代
玉器,玉璧,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0,多聯璧,不詳,東京飛鳥,秋季 韞玉生輝－中國古代玉器（模擬場次）,2023-10-15,東京,0001,徑22.8 厚約0.6公分,500000,870000,,RMB,流拍,LOT-E11413A2A245,SIM-2023-TFA-JAD-2,TFA,,,資料不詳
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635188&randomCode=1131617871,宋劉松年真蹟　冊　晏坐看山,劉松年,保利香港,春季 中國古代書畫（模擬場次）,2022-04-02,香港,0001,12.6x23.3,7750000,10900000,7350000,RMB,成交,LOT-061FEB863D21,SIM-2022-PHK-PAI-1,PHK,劉松年,,已解析作者
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=590090&randomCode=85345103010,明人扇頭畫　冊　明董其昌秋林策杖,不詳,蘇富比,春季 翰墨丹青－中國繪畫專場（模擬場次）,2021-03-13,香港,0002,17.5x52.3,740000,1100000,750000,RMB,成交,LOT-EA117F2BE61B,SIM-2021-SOT-PAI-1,SOT,,,資料不詳
