rate_date,source_date,from_currency,to_currency,rate_to_rmb,source_hkd_per_unit,cny_hkd_per_unit,is_carried_forward,source_name,source_url
2020-01-01,2019-12-31,USD,RMB,6.9682326622,7.787,1.1175,True,香港金融管理局,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/er-ir/er-eeri-daily
2020-01-01,2019-12-31,HKD,RMB,0.8948545861,1,1.1175,True,香港金融管理局,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/er-ir/er-eeri-daily
2020-01-01,2019-12-31,GBP,RMB,9.1333333333,10.2065,1.1175,True,香港金融管理局,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/er-ir/er-eeri-daily
2020-01-01,2019-12-31,EUR,RMB,7.8071588367,8.7245,1.1175,True,香港金融管理局,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/er-ir/er-eeri-daily
2020-01-01,2019-12-31,JPY,RMB,0.0640805369,0.07161,1.1175,True,香港金融管理局,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/er-ir/er-eeri-daily
2020-01-01,2019-12-31,TWD,RMB,0.2304250559,0.2575,1.1175,True,香港金融管理局,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/er-ir/er-eeri-daily
2020-01-02,2020-01-02,USD,RMB,6.9608718957,7.792,1.1194,False,香港金融管理局,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/er-ir/er-eeri-daily
2020-01-02,2020-01-02,HKD,RMB,0.8933357156,1,1.1194,False,香港金融管理局,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/er-ir/er-eeri-daily
2020-01-02,2020-01-02,GBP,RMB,9.1995711989,10.298,1.1194,False,香港金融管理局,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/er-ir/er-eeri-daily
2020-01-02,2020-01-02,EUR,RMB,7.8032874754,8.735,1.1194,False,香港金融管理局,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/er-ir/er-eeri-daily
2020-01-02,2020-01-02,JPY,RMB,0.0639896373,0.07163,1.1194,False,香港金融管理局,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/er-ir/er-eeri-daily
