alias_id,entity_type,alias_name,canonical_name,auction_house_id,language
ALS-0C8898276D52,auction_house,蘇富比,蘇富比,SOT,zh
ALS-F6775F9F27B8,auction_house,蘇富比拍賣,蘇富比,SOT,zh
ALS-B9EB4C328D4C,auction_house,香港蘇富比,蘇富比,SOT,zh
ALS-D0C12D145293,auction_house,Sotheby's,蘇富比,SOT,en
ALS-09910165D466,auction_house,Sothebys,蘇富比,SOT,en
ALS-422C856A5C24,auction_house,佳士得,佳士得,CHR,zh
ALS-9FA5307C08E1,auction_house,佳士得拍賣,佳士得,CHR,zh
ALS-8C0C921492AD,auction_house,香港佳士得,佳士得,CHR,zh
ALS-B5BC77D3BB2E,auction_house,Christie's,佳士得,CHR,en
ALS-C3CF1B71330D,auction_house,Christies,佳士得,CHR,en
ALS-9E7971F9C1B1,auction_house,邦瀚斯,邦瀚斯,BON,zh
ALS-D23C1150C7C8,auction_house,邦瀚斯拍賣,邦瀚斯,BON,zh
ALS-600F4F4EC02E,auction_house,香港邦瀚斯,邦瀚斯,BON,zh
ALS-D41FFD505ADE,auction_house,Bonhams,邦瀚斯,BON,en
ALS-CEB93B3BF54E,auction_house,中國嘉德,中國嘉德,CGD,zh
ALS-8CF6D091CFD5,auction_house,中國嘉德拍賣,中國嘉德,CGD,zh
ALS-0C4287AA0F45,auction_house,嘉德,中國嘉德,CGD,zh
ALS-702A8B81409C,auction_house,嘉德拍賣,中國嘉德,CGD,zh
ALS-B45CDEFCB96B,auction_house,中國嘉德（香港）,中國嘉德（香港）,CGH,zh
ALS-404F3DAC0242,auction_house,中國嘉德(香港),中國嘉德（香港）,CGH,zh
ALS-C6682E7322D8,auction_house,中國嘉德香港,中國嘉德（香港）,CGH,zh
ALS-0BFE6BA68CA7,auction_house,嘉德香港,中國嘉德（香港）,CGH,zh
ALS-217D168648D0,auction_house,北京保利,北京保利,BPL,zh
ALS-9945ECEBEC08,auction_house,北京保利拍賣,北京保利,BPL,zh
ALS-A669D2FFAF97,auction_house,保利北京,北京保利,BPL,zh
ALS-75534F59896F,auction_house,保利香港,保利香港,PHK,zh
ALS-52CA97B1AA70,auction_house,保利香港拍賣,保利香港,PHK,zh
ALS-B7759991FE35,auction_house,香港保利,保利香港,PHK,zh
ALS-1F825D36839F,auction_house,永樂拍賣,永樂拍賣,YON,zh
ALS-240F3CDC27C8,auction_house,北京永樂,永樂拍賣,YON,zh
ALS-70DE8E89270F,auction_house,永樂,永樂拍賣,YON,zh
ALS-1DD69E549CC4,auction_house,西泠印社,西泠印社,XLY,zh
ALS-DF713A68E2A9,auction_house,西泠印社拍賣,西泠印社,XLY,zh
ALS-104FFE869569,auction_house,西泠拍賣,西泠印社,XLY,zh
ALS-C6A2EE84C021,auction_house,華藝國際（廣州）,華藝國際（廣州）,HYG,zh
ALS-55CAEA0D0B70,auction_house,華藝國際(廣州),華藝國際（廣州）,HYG,zh
ALS-18E66C19986C,auction_house,廣州華藝國際,華藝國際（廣州）,HYG,zh
ALS-5B76124684A5,auction_house,華藝國際,華藝國際（廣州）,HYG,zh
ALS-7B7171935C87,auction_house,東京中央,東京中央,TCA,zh
ALS-786449C195D3,auction_house,東京中央拍賣,東京中央,TCA,zh
ALS-B90D260C65A5,auction_house,東京飛鳥,東京飛鳥,TFA,zh
ALS-13FC23CB611B,auction_house,東京飛鳥拍賣,東京飛鳥,TFA,zh
ALS-81B6B7A70D6B,auction_house,橫濱國拍,橫濱國拍,YIA,zh
ALS-6B21EFFE2E2F,auction_house,橫濱國際拍賣,橫濱國拍,YIA,zh
ALS-4C79A1D32537,auction_house,橫濱國際,橫濱國拍,YIA,zh
ALS-F7D5102B32F5,auction_house,帝圖,帝圖,DIT,zh
ALS-08C381BC3F64,auction_house,帝圖藝術拍賣,帝圖,DIT,zh
ALS-409CCFD5033D,auction_house,帝圖拍賣,帝圖,DIT,zh
ALS-E46E3C203959,auction_house,宇珍,宇珍,YZH,zh
ALS-9B42DD62B8A0,auction_house,宇珍國際藝術,宇珍,YZH,zh
ALS-EDD41078B8A0,auction_house,宇珍拍賣,宇珍,YZH,zh
